epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.005,1.04103,1.64252,1.31726,0.84172,0.81153,0.88246,0.61716,1.00869,1.26496,1.20811,0.00333111,0.00333111,0.00333111
2,556.613,1.03886,1.14024,1.30313,0.8643,0.86696,0.90097,0.60987,1.18451,0.93987,1.39554,0.00662046,0.00662046,0.00662046
3,859.661,1.1211,1.11344,1.36205,0.86901,0.77965,0.87292,0.62885,0.9725,0.92452,1.25055,0.00986581,0.00986581,0.00986581
4,1200.65,1.17126,1.12943,1.41346,0.83835,0.81153,0.86404,0.5674,1.21591,0.94419,1.39832,0.009802,0.009802,0.009802
5,1587,1.1199,1.03427,1.37225,0.8697,0.81397,0.88567,0.66646,0.88852,0.76884,1.21445,0.009736,0.009736,0.009736
6,1881.54,1.092,0.97783,1.34977,0.9,0.83815,0.91647,0.68753,0.92322,0.68854,1.21328,0.00967,0.00967,0.00967
7,2176.91,1.05009,0.91968,1.31948,0.86703,0.83854,0.90043,0.69051,0.85744,0.66429,1.17155,0.009604,0.009604,0.009604
8,2462.79,1.02744,0.88137,1.29882,0.88737,0.85588,0.92116,0.73302,0.77378,0.60263,1.11573,0.009538,0.009538,0.009538
9,2747.08,0.98994,0.8547,1.27354,0.87867,0.86253,0.91267,0.67621,0.97435,0.64506,1.24551,0.009472,0.009472,0.009472
10,3029.39,0.97861,0.84015,1.26227,0.89059,0.86631,0.92119,0.71946,0.8369,0.6254,1.15255,0.009406,0.009406,0.009406
11,3309.95,0.95732,0.81276,1.25538,0.90825,0.85598,0.92043,0.70697,0.88621,0.61986,1.18024,0.00934,0.00934,0.00934
12,3589.81,0.94362,0.78353,1.24247,0.88748,0.8569,0.92707,0.73336,0.79459,0.56076,1.09763,0.009274,0.009274,0.009274
13,3869.71,0.92723,0.77441,1.22704,0.90033,0.8813,0.92969,0.75171,0.75631,0.56072,1.08038,0.009208,0.009208,0.009208
14,4149.39,0.91046,0.74413,1.22085,0.93237,0.85809,0.93879,0.75239,0.76107,0.53208,1.07987,0.009142,0.009142,0.009142
15,4430.13,0.89303,0.73351,1.20719,0.94395,0.85366,0.94048,0.76332,0.73925,0.5318,1.06201,0.009076,0.009076,0.009076
16,4709.41,0.89628,0.73069,1.20762,0.90867,0.8847,0.94247,0.76141,0.74323,0.50223,1.05785,0.00901,0.00901,0.00901
17,4982.98,0.87332,0.71482,1.19061,0.90767,0.91553,0.94344,0.76527,0.70664,0.51316,1.04565,0.008944,0.008944,0.008944
18,5254.14,0.87006,0.70498,1.19457,0.9287,0.86642,0.94902,0.76287,0.75913,0.50975,1.06214,0.008878,0.008878,0.008878
